words,count
手机,27932
壳,14374
4G,10344
保护套,8822
苹果,8397
米,8036
英寸,7638
膜,7621
移动,7484
适用,6113
系列,5989
保护,5837
线,5643
黑色,5174
于,5174
联通,4939
双待,4879
双卡,4861
摔,4827
防,4592
钢化,4559
版,4462
电信,4176
华为,3984
贴膜,3859
白色,3729
高清,3666
连接线,3655
6s,3592
网线,3520
.,3496
软壳,3457
6,3417
Plus,3377
三星,3179
3,3105
笔记本电脑,3102
透明,3065
小米,3040
全,3002
1,2877
金,2721
手机套,2693
2G,2588
电脑,2566
荣耀,2516
全屏,2460
覆盖,2451
mm,2372
iPhone,2363
5,2337
独显,2304
7,2297
转,2264
硅胶,2253
魅族,2224
2,2213
iPhone6,2153
0,2143
玻璃,1952
网络,1946
500G,1870
i5,1868
金色,1864
套装,1820
跳线,1747
plus,1719
高速,1712
笔记本,1667
iPhone7,1659
HDMI,1628
数据线,1621
黑,1614
网通,1583
USB,1583
4.7,1570
4,1569
硬壳,1562
防爆,1555
磨砂,1535
魅蓝,1534
TD,1525
14,1494
延长线,1443
音频线,1410
LTE,1409
3G,1385
联想,1380
YOMO,1378
TPU,1378
3.5,1362
5.5,1355
红米,1336
口,1331
钢化玻璃,1327
15.6,1326
带,1286
皮套,1275
8G,1245
蓝色,1237
Apple,1232
银色,1228
优加,1222
光纤,1216
3D,1213
白,1212
级,1203
USB3,1193
屏蔽,1172
6S,1147
保护膜,1134
VGA,1134
外壳,1132
六类,1127
山泽,1111
SAMZHE,1109
工程,1094
8,1066
1.5,1062
ESCASE,1050
芯,1050
Galaxy,1043
集线器,1037
双,1034
电视,1027
抗,1025
KOOLIFE,1022
玫瑰,1016
超五类,1009
灰色,1005
32GB,995
公,963
轻薄,955
转换器,952
全包,947
HUB,936
NILLKIN,926
耐尔,926
显示器,911
千兆,911
Win10,884
蓝牙,878
16GB,868
插,867
Win8,866
水晶头,866
银,863
音频,853
金属,850
镀金,842
数字,836
畅玩,833
浮雕,833
蓝光,832
亿色,829
派,825
充电,813
者,813
优越,811
i7,806
USB2,806
UNITEK,806
纯铜,803
绿联,800
对公,799
10,792
支持,785
ThinkPad,784
滋,781
Y,780
分线器,777
接口,776
CE,757
LINK,756
UGREEN,752
卡通,738
惠普,738
视频,737
红色,728
ESR,728
GSM,721
超薄,718
戴尔,717
胜为,716
shengwei,715
DVI,711
乐视,709
iPhone6s,709
HP,708
OPPO,706
支架,703
奇克摩克,700
耳机,696
