org_from,org_to,actiontime_max,alt_max,alt_cnt
3,7,\N,\N,421
3,7,2016-06-02,1,329
3,7,2016-06-03,1,279
3,7,2016-06-03,2,15
3,7,2016-06-04,1,348
3,7,2016-06-04,2,20
3,7,2016-06-05,1,330
3,7,2016-06-05,2,27
3,7,2016-06-06,1,311
3,7,2016-06-06,2,19
3,7,2016-06-07,1,283
3,7,2016-06-07,2,21
3,7,2016-06-08,1,316
3,7,2016-06-08,2,27
3,7,2016-06-09,1,316
3,7,2016-06-09,2,20
3,7,2016-06-10,1,275
3,7,2016-06-10,2,25
3,7,2016-06-11,1,250
3,7,2016-06-11,2,22
3,7,2016-06-12,1,314
3,7,2016-06-12,2,25
3,7,2016-06-12,5,1
3,7,2016-06-13,1,359
3,7,2016-06-13,2,37
3,7,2016-06-14,1,396
3,7,2016-06-14,2,20
3,7,2016-06-15,1,309
3,7,2016-06-15,2,24
3,7,2016-06-16,1,266
3,7,2016-06-16,2,5
3,7,2016-06-17,1,227
3,7,2016-06-17,2,19
3,7,2016-06-19,3,42
3,7,2016-06-20,4,57
3,7,2016-06-21,1,294
3,7,2016-06-22,1,271
3,7,2016-06-22,2,1
3,7,2016-06-23,1,260
3,7,2016-06-24,1,366
3,7,2016-06-24,2,1
3,7,2016-06-25,1,201
3,7,2016-06-25,2,15
3,7,2016-06-26,1,165
3,7,2016-06-26,2,6
3,7,2016-06-27,1,154
3,7,2016-06-27,2,1
3,7,2016-06-28,1,147
3,7,2016-06-28,2,7
3,7,2016-06-29,1,95
3,7,2016-06-29,2,1
3,7,2016-06-30,1,238
3,7,2016-06-30,2,2
3,7,2016-07-01,1,164
3,7,2016-07-01,2,8
3,7,2016-07-02,1,168
3,7,2016-07-02,2,5
3,7,2016-07-03,1,147
3,7,2016-07-03,2,7
3,7,2016-07-04,1,137
3,7,2016-07-04,2,4
3,7,2016-07-05,1,136
3,7,2016-07-05,2,6
3,7,2016-07-06,1,147
3,7,2016-07-06,2,8
3,7,2016-07-07,1,181
3,7,2016-07-07,2,8
3,7,2016-07-08,1,180
3,7,2016-07-08,2,12
3,7,2016-07-09,1,180
3,7,2016-07-09,2,10
3,7,2016-07-10,1,163
3,7,2016-07-10,2,8
3,7,2016-07-11,1,156
3,7,2016-07-11,2,3
3,7,2016-07-12,1,170
3,7,2016-07-12,2,4
3,7,2016-07-13,1,174
3,7,2016-07-13,2,5
3,7,2016-07-14,1,187
3,7,2016-07-14,2,5
3,7,2016-07-15,1,176
3,7,2016-07-15,2,6
3,7,2016-07-15,3,1
3,7,2016-07-16,1,217
3,7,2016-07-16,2,9
3,7,2016-07-17,1,175
3,7,2016-07-17,2,19
3,7,2016-07-18,0,2
3,7,2016-07-18,1,165
3,7,2016-07-18,2,25
3,7,2016-07-19,1,200
3,7,2016-07-19,2,6
3,7,2016-07-20,1,183
3,7,2016-07-20,2,19
3,7,2016-07-21,1,240
3,7,2016-07-21,2,50
3,7,2016-07-22,1,213
3,7,2016-07-22,2,14
3,7,2016-07-23,1,190
3,7,2016-07-23,2,17
3,7,2016-07-24,1,213
3,7,2016-07-24,2,36
3,7,2016-07-25,1,169
3,7,2016-07-25,2,28
3,7,2016-07-26,1,193
3,7,2016-07-26,2,25
3,7,2016-07-26,3,2
3,7,2016-07-27,1,205
3,7,2016-07-27,2,22
3,7,2016-07-28,1,200
3,7,2016-07-28,2,37
3,7,2016-07-29,1,204
3,7,2016-07-29,2,31
3,7,2016-07-29,3,1
3,7,2016-07-30,1,206
3,7,2016-07-30,2,32
3,7,2016-07-31,1,158
3,7,2016-07-31,2,17
3,7,2016-08-01,1,164
3,7,2016-08-01,2,80
3,7,2016-08-01,3,2
3,7,2016-08-02,1,104
3,7,2016-08-02,2,39
3,7,2016-08-02,3,3
3,7,2016-08-03,1,188
3,7,2016-08-03,2,19
3,7,2016-08-04,1,160
3,7,2016-08-04,2,78
3,7,2016-08-05,1,216
3,7,2016-08-05,2,12
3,7,2016-08-06,1,188
3,7,2016-08-06,2,28
3,7,2016-08-07,1,176
3,7,2016-08-07,2,26
3,7,2016-08-07,3,1
3,7,2016-08-08,1,172
3,7,2016-08-08,2,30
3,7,2016-08-09,1,166
3,7,2016-08-09,2,20
3,7,2016-08-10,1,180
3,7,2016-08-10,2,37
3,7,2016-08-11,1,188
