arrive_time	item_sku_id	arrive_quantity	int_org_num
NULL	1000115	15	4
NULL	1000242	0	4
NULL	1000490	240	4
NULL	1000609	30	4
NULL	1000632	172	4
NULL	1000716008	20	4
NULL	1000794392	24	4
NULL	1000797301	24	4
NULL	1000801309	100	4
NULL	1000855789	6	4
NULL	1000975	2	4
NULL	1001048	1	4
NULL	1001194	3	4
NULL	1001199	2	4
NULL	1001208	13	4
NULL	1001209	1	4
NULL	1001322360	108	4
NULL	1001322598	120	4
NULL	1001372	120	4
NULL	1001385	22	4
NULL	1001462921	10	4
NULL	1001463012	50	4
NULL	1001463241	10	4
NULL	1001463309	3	4
NULL	1001463310	3	4
NULL	1001573	19	4
NULL	1001575	3	4
NULL	1001816	24	4
NULL	1001957796	800	4
NULL	1002010972	20	4
NULL	1002046345	50	4
NULL	1002129673	16	4
NULL	1002129674	8	4
NULL	1002129675	4	4
NULL	1002144	4	4
NULL	1002148	25	4
NULL	1002249	41	4
NULL	1002256	80	4
NULL	1002263	31	4
NULL	1002363676	5	4
NULL	1002364071	200	4
NULL	1002364072	100	4
NULL	1002367	4	4
NULL	1002536825	20	4
NULL	1003031	20	4
NULL	1003079	96	4
NULL	1003105356	120	4
NULL	1003260694	96	4
NULL	1003263878	4	4
NULL	1003269170	30	4
NULL	1003403	20	4
NULL	1003590304	10	4
NULL	1003712	12	4
NULL	1003811	30	4
NULL	1003979	900	4
NULL	1003988	720	4
NULL	1003994	240	4
NULL	1004030058	90	4
NULL	1004200	9	4
NULL	1004231	6	4
NULL	1004499	5	4
NULL	1004504728	10	4
NULL	1004568292	50	4
NULL	1004905	15	4
NULL	1005283687	6	4
NULL	1005332	49	4
NULL	1005386	12	4
NULL	1005390	36	4
NULL	1005426	1	4
NULL	1005998	13	4
NULL	1006166	12	4
NULL	1006760918	3	4
NULL	1006792	120	4
NULL	1006873	2646	4
NULL	1006996768	18	4
NULL	1007055	100	4
NULL	1007056	200	4
NULL	1007061	50	4
NULL	1007315	5	4
NULL	1007967	10	4
NULL	1007968	15	4
NULL	1007970	192	4
NULL	1007976	9	4
NULL	1007978	17	4
NULL	1008346	1	4
NULL	1008580	60	4
NULL	1008986	60	4
NULL	1009196	4	4
NULL	1009724	35	4
NULL	1009738	2	4
NULL	1010254	2	4
NULL	1010271	24	4
NULL	1010272	24	4
NULL	1010277	72	4
NULL	1010281	120	4
NULL	1010364	40	4
NULL	1010708	2496	4
NULL	1010711	600	4
NULL	1010774	28	4
NULL	1010779	60	4
NULL	1010798	5	4
NULL	1010815770	6	4
NULL	1011026	2	4
NULL	1011043	10	4
NULL	1011311532	225	4
NULL	1012538411	105	4
NULL	1012583	2	4
NULL	1012748	1	4
NULL	1012849	257	4
NULL	1012893	2	4
NULL	1012906	2800	4
NULL	1012917	56	4
NULL	1012925	4	4
NULL	1012952	31	4
NULL	1013057	2	4
NULL	1013060	2	4
NULL	1013234	15	4
NULL	1013360	3	4
NULL	1013622947	152	4
NULL	1013668	4	4
NULL	1014489	300	4
NULL	101498	70	4
NULL	1015049619	120	4
NULL	1015062	0	4
NULL	1015091	10	4
NULL	1015092	110	4
NULL	1015219	0	4
NULL	1015224	45	4
NULL	1015234	4	4
NULL	1015253	28	4
NULL	1015257	10	4
NULL	1015360486	3	4
NULL	1015457	308	4
NULL	1015488	100	4
NULL	1015553	238	4
NULL	1015582846	5	4
NULL	1016278229	100	4
NULL	1016546	7	4
NULL	1016688	12	4
NULL	1016722048	900	4
NULL	1016815	1	4
NULL	1016821	1344	4
NULL	1016827	50	4
NULL	1017103	8	4
NULL	1017131	8	4
NULL	1017136	8	4
NULL	1017592	12	4
NULL	1017596	5	4
NULL	1017677	30	4
NULL	1017850	100	4
NULL	1018220	163	4
NULL	1018434	6	4
NULL	1018684	160	4
NULL	1018856	12	4
NULL	1019054	10	4
NULL	1019066454	15	4
NULL	1019176	72	4
