actual_origin_rate,actual_plan_rate,actual_pur_qtty,band,day_string,item_sku_id,originalnum,plan_pur_qtty,pur_bill_id,supp_brevity_cd,supp_name,vlt
1.0,1.0,4.0,L,2016-07-13 00:00:00,1002144,4.0,4.0,17558360.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,4.0,L,2016-08-02 00:00:00,1002144,4.0,4.0,18033055.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,3.0,L,2016-08-16 00:00:00,1002144,3.0,3.0,18438668.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,3.0,L,2016-08-30 00:00:00,1002144,3.0,3.0,18827328.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
0.0,0.0,0.0,L,2016-10-12 00:00:00,1002144,10.0,10.0,20105238.0,gzxmcmy,广州美厨智能家居科技股份有限公司,7
1.0,1.0,5.0,L,2016-10-18 00:00:00,1002144,5.0,5.0,20337082.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,6.0,L,2016-10-19 00:00:00,1002144,6.0,6.0,20378606.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,10.0,L,2016-10-20 00:00:00,1002144,10.0,10.0,20419013.0,gzxmcmy,广州美厨智能家居科技股份有限公司,3
1.0,1.0,6.0,D,2016-08-09 00:00:00,1002148,6.0,6.0,18249401.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,3.0,D,2016-08-15 00:00:00,1002148,3.0,3.0,18399086.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,3.0,D,2016-08-16 00:00:00,1002148,3.0,3.0,18438668.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,30.0,D,2016-08-30 00:00:00,1002148,30.0,30.0,18827328.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
0.95833333333333337,0.95833333333333337,23.0,D,2016-09-20 00:00:00,1002148,24.0,24.0,19424050.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
0.94666666666666666,0.94666666666666666,71.0,D,2016-10-12 00:00:00,1002148,75.0,75.0,20105238.0,gzxmcmy,广州美厨智能家居科技股份有限公司,7
1.0,1.0,34.0,D,2016-10-18 00:00:00,1002148,34.0,34.0,20337082.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,4.0,D,2016-10-20 00:00:00,1002148,4.0,4.0,20419013.0,gzxmcmy,广州美厨智能家居科技股份有限公司,3
1.0,1.0,60.0,D,2016-08-30 00:00:00,1003031,60.0,60.0,18827328.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,2.0,D,2016-09-27 00:00:00,1003031,2.0,2.0,19668225.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,54.0,D,2016-10-12 00:00:00,1003031,54.0,54.0,20105244.0,gzxmcmy,广州美厨智能家居科技股份有限公司,7
1.0,1.0,28.0,D,2016-10-18 00:00:00,1003031,28.0,28.0,20337083.0,gzxmcmy,广州美厨智能家居科技股份有限公司,10
1.0,1.0,2.0,L,2016-07-06 00:00:00,1003033,2.0,2.0,17436453.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
1.0,1.0,2.0,L,2016-07-13 00:00:00,1003033,2.0,2.0,17558360.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,5.0,L,2016-08-09 00:00:00,1003033,5.0,5.0,18249401.0,gzxmcmy,广州美厨智能家居科技股份有限公司,9
1.0,1.0,2.0,L,2016-08-30 00:00:00,1003033,2.0,2.0,18827328.0,gzxmcmy,广州美厨智能家居科技股份有限公司,8
