province,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
北京市,115098,102538,94173,87299,78270,67403,60495,56677,48328,41313
天津市,93641,84254,75881,68231,64153,56635,47895,42962,34509,29005
河北省,52686,43351,39648,39177,35872,31977,28871,25233,20754,17057
山西省,53631,45843,42175,40881,36542,32664,28872,26222,22107,18540
内蒙古自治区,61290,56304,53977,49278,43788,37255,32108,27130,22711,19275
辽宁省,53659,47768,45936,43177,39910,35522,31878,28834,24281,20305
吉林省,56032,49267,45618,39335,34230,30082,27070,24481,21502,16983
黑龙江省,49307,42794,39072,36814,31693,28373,25635,21549,18392,15555
上海市,105542,102277,95573,89739,83519,71885,64639,57025,50311,40141
江苏省,79656,72260,67826,61221,55522,49553,44013,38278,32738,28143
浙江省,96633,87609,81157,73494,67781,62367,56962,51491,47587,41920
安徽省,60433,51974,48683,44818,39287,33793,29163,25697,21960,17425
福建省,70424,62970,58199,54211,46846,40090,36061,32148,27423,23500
江西省,56292,49519,45315,39422,35597,30031,25582,22093,19298,16227
山东省,69050,58485,52811,47894,43469,38490,34292,30756,26986,22552
河南省,49978,46604,42270,39344,35386,31470,28503,26222,22044,17702
湖北省,58631,53299,44746,41979,39104,35044,29172,24270,21591,17708
湖南省,55745,48344,44153,40397,35626,31900,28967,26312,22956,18459
广东省,76870,68803,62652,59423,53976,49027,44403,40391,36053,31057
广西壮族自治区,57247,46065,42552,37706,34886,32587,29275,26547,22614,18384
海南省,63185,53622,47159,40225,37562,31582,24188,21160,18720,15254
重庆市,72587,64046,55870,50523,43617,37195,33286,29235,25060,21168
四川省,66551,57018,53896,47721,42048,36729,32210,28131,24045,19884
贵州省,64552,54083,49734,43702,37359,31469,28951,25123,21608,17248
云南省,61151,52224,46849,43415,38684,33140,29414,25987,22275,19520
西藏自治区,104897,61886,59904,52219,50770,51420,47116,46035,44813,30131
陕西省,55815,50355,48381,45526,40349,34528,30853,26050,21345,16894
甘肃省,57888,49614,45636,38401,32366,29889,28082,24858,21968,17836
青海省,66382,60815,55410,50729,46936,41417,37405,34314,28681,24195
宁夏回族自治区,63679,53923,49914,46880,41217,35330,32543,30321,26157,20998
新疆维吾尔自治区,58829,49846,45834,42479,36309,31006,26626,24008,21213,17640
