,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
北京,8117.78,9846.81,11115,12153.03,14113.58,16251.93,17879.4,19800.81,21330.83,23014.59
天津,4462.74,5252.76,6719.01,7521.85,9224.46,11307.28,12893.88,14442.01,15726.93,16538.19
河北省,11467.6,13607.32,16011.97,17235.48,20394.26,24515.76,26575.01,28442.95,29421.15,29806.11
山西省,4878.61,6024.45,7315.4,7358.31,9200.86,11237.55,12112.83,12665.25,12761.49,12766.49
内蒙古自治区,4944.25,6423.18,8496.2,9740.25,11672,14359.88,15880.58,16916.5,17770.19,17831.51
辽宁省,9304.52,11164.3,13668.58,15212.49,18457.27,22226.7,24846.43,27213.22,28626.58,28669.02
吉林省,4275.12,5284.69,6426.1,7278.75,8667.58,10568.83,11939.24,13046.4,13803.14,14063.13
黑龙江省,6211.8,7104,8314.37,8587,10368.6,12582,13691.58,14454.91,15039.38,15083.67
上海,10572.24,12494.01,14069.86,15046.45,17165.98,19195.69,20181.72,21818.15,23567.7,25123.45
江苏省,21742.05,26018.48,30981.98,34457.3,41425.48,49110.27,54058.22,59753.37,65088.32,70116.38
浙江省,15718.47,18753.73,21462.69,22990.35,27722.31,32318.85,34665.33,37756.58,40173.03,42886.49
安徽省,6112.5,7360.92,8851.66,10062.82,12359.33,15300.65,17212.05,19229.34,20848.75,22005.63
福建省,7583.85,9248.53,10823.01,12236.53,14737.12,17560.18,19701.78,21868.49,24055.76,25979.82
江西省,4820.53,5800.25,6971.05,7655.18,9451.26,11702.82,12948.88,14410.19,15714.63,16723.78
山东省,21900.19,25776.91,30933.28,33896.65,39169.92,45361.85,50013.24,55230.32,59426.59,63002.33
河南省,12362.79,15012.46,18018.53,19480.46,23092.36,26931.03,29599.31,32191.3,34938.24,37002.16
湖北省,7617.47,9333.4,11328.89,12961.1,15967.61,19632.26,22250.45,24791.83,27379.22,29550.19
湖南省,7688.67,9439.6,11555,13059.69,16037.96,19669.56,22154.23,24621.67,27037.32,28902.21
广东省,26587.76,31777.01,36796.71,39482.56,46013.06,53210.28,57067.92,62474.79,67809.85,72812.55
广西壮族自治区,4746.16,5823.41,7021,7759.16,9569.85,11720.87,13035.1,14449.9,15672.89,16803.12
海南省,1044.91,1254.17,1503.06,1654.21,2064.5,2522.66,2855.54,3177.56,3500.72,3702.76
重庆市,3907.23,4676.13,5793.66,6530.01,7925.58,10011.37,11409.6,12783.26,14262.6,15717.27
四川省,8690.24,10562.39,12601.23,14151.28,17185.48,21026.68,23872.8,26392.07,28536.66,30053.1
贵州省,2338.98,2884.11,3561.56,3912.68,4602.16,5701.84,6852.2,8086.86,9266.39,10502.56
云南省,3988.14,4772.52,5692.12,6169.75,7224.18,8893.12,10309.47,11832.31,12814.59,13619.17
西藏自治区,290.76,341.43,394.85,441.36,507.46,605.83,701.03,815.67,920.83,1026.39
陕西省,4743.61,5757.29,7314.58,8169.8,10123.48,12512.3,14453.68,16205.45,17689.94,18021.86
甘肃省,2276.7,2702.4,3166.82,3387.56,4120.75,5020.37,5650.2,6330.69,6836.82,6790.32
青海省,648.5,797.35,1018.62,1081.27,1350.43,1670.44,1893.54,2122.06,2303.32,2417.05
宁夏回族自治区,725.9,919.11,1203.92,1353.31,1689.65,2102.21,2341.29,2577.57,2752.1,2911.77
新疆维吾尔自治区,3045.26,3523.16,4183.21,4277.05,5437.47,6610.05,7505.31,8443.84,9273.46,9324.8
