province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
全国,3334.8,3261.26,3261.44,3189.6,2793.93,2157.89,2298.86,2362.9,2399.93,2440.1
北京,5.73,6.75,6.69,7,3.79,3.76,3.73,3.83,3.75,3.9
天津,2.97,2.97,2.97,3,2.97,2.97,2.97,2.97,2.97,3
河北省,68.15,63.46,60.59,56.3,60.59,38.41,39.51,39.41,40.97,42.5
山西省,1051.66,1056.13,1061.51,1055.5,844.01,834.59,908.42,906.8,920.89,921.3
内蒙古自治区,802.33,808.4,789.07,772.7,769.86,368.89,401.66,460.1,490.02,492.8
辽宁省,49.75,43.36,44.64,43.8,46.63,30.97,31.92,28.33,27.57,26.8
吉林省,17.11,12.53,12.48,12.8,12.4,9.52,9.82,10.03,9.71,9.8
黑龙江省,77.67,74.15,72.44,69,68.17,61.75,61.64,61.38,62.12,61.6
江苏省,18.3,17.58,14.73,14.5,14.23,10.81,10.82,10.93,10.71,10.5
浙江省,0.49,0.49,0.49,0.5,0.49,0.44,0.43,0.43,0.43,0.4
安徽省,118.74,80.88,85.91,83.7,81.93,79.91,80.38,85.19,83.96,84
福建省,4.79,4.44,4.42,4.2,4.06,4.29,4.44,4.33,4.22,4.1
江西省,8.18,7.92,7.67,7.2,6.74,4.26,4.11,3.97,3.43,3.4
山东省,103.25,96.25,84.11,82.1,77.56,74.1,79.73,78.78,77.22,77.6
河南省,123.3,117.8,115.87,114.7,113.49,97.46,99.09,89.55,86.49,86
湖北省,3.26,3.32,3.3,3.3,3.3,3.25,3.25,3.23,3.19,3.2
湖南省,20.12,19.83,19.57,18.9,18.76,13.29,6.61,6.61,6.68,6.6
广东省,1.89,1.89,1.89,1.9,1.89,0.23,0.23,0.23,0.23,0.2
广西壮族自治区,8.46,8.51,8.24,7.7,7.74,2.02,2.08,2.26,2.27,0.9
海南省,0.9,0.9,0.9,0.9,0.9,1.19,1.19,1.19,1.19,1.2
重庆市,18.26,20.23,20.66,21.3,22.49,18.57,19.85,19.86,18.03,17.6
四川省,50.26,49.31,49.76,52.3,54.37,51.82,54.53,55.74,54.1,53.8
贵州省,148.26,146.76,150.06,128.1,118.46,58.74,69.39,83.29,93.98,101.7
云南省,73.57,79.68,78.65,77.5,62.47,59.67,59.09,60.1,59.47,59.6
西藏自治区,0.12,0.12,0.12,0.1,0.12,0.12,0.12,0.12,0.12,0.1
陕西省,277.57,276.24,278.46,268.7,119.89,107.59,108.99,104.38,95.48,126.6
甘肃省,61.7,58.42,60.48,58.4,58.05,23.51,34.08,32.69,32.86,32.5
青海省,20.66,20.53,20.2,20,16.22,16.12,15.97,12.17,11.82,12.5
宁夏回族自治区,70.06,59.17,58.15,55.5,54.03,31.28,32.34,38.47,38.04,37.4
新疆维吾尔自治区,127.28,123.24,147.41,148,148.31,148.36,152.47,156.53,158.01,158.7
