province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
全国,275856.75,283253.77,289043,294919.8,317435.27,323967.94,333258.33,336732.81,343335,349610.7
天津,3074.99,3774.22,3607,3436.8,3415.91,2742.16,3034.52,3115.22,3048.6,3005.6
河北省,16338.63,25077.03,24707,26380.7,27780.8,27736.14,26934.54,26685.34,26724.9,26422.2
内蒙古自治区,5526.32,5763.38,7751,7618.3,7643.8,8520.38,8517.07,8339.35,8354.4,8208.5
辽宁省,17010.38,16915.33,15734,14937.7,18799.01,17880.89,16946.82,16411.23,15777.4,15052.8
吉林省,16529.56,16646.01,17778,18223.6,18861.77,17788.93,18304.08,18326.64,18122.3,17798.7
黑龙江省,62196.71,60071.83,57474,54519.9,54516.41,51273.08,50137.48,47311.25,45373.8,44048.7
江苏省,2503.77,2521,2522,2568.1,2689.35,2933.35,3061.03,3023.37,2965.4,2906.9
安徽省,137.88,142.6,161,180.9,186.73,208.8,260.06,254.2,253.1,247
山东省,34747.87,34106.79,33496,32636.3,34310.68,34329.4,34302.35,33839.35,32627.4,31123.5
河南省,5370.67,5219.19,5183,5051.9,5051.21,5190.34,5160.24,5037.37,4876.8,4631.1
湖北省,1187.18,1199.83,1210,1224.1,1307.97,1302.57,1328.7,1303.7,1284.9,1241.6
广东省,9,8.84,8,8.3,8.16,8.05,7.9,13.85,13.8,13.7
广西壮族自治区,175.16,191.73,187,181.7,146.41,142.88,139,135.27,131.6,128.9
海南省,40.8,28.95,17,2.7,-17.27,-34.44,297.5,274.39,277.9,326.6
重庆市,,5.63,56,161.7,160.44,159.05,158.63,278.43,267.7,267.1
四川省,345.05,330.52,338,105.1,514.74,818.74,804.63,666.66,661.8,648.4
云南省,12.4,12.21,12,12.2,12.21,12.21,12.21,12.21,12.2,12.2
陕西省,19884.83,19917.19,23047,22490.2,24947.67,29844.34,31397.94,33712.64,36300.8,38445.3
甘肃省,8727.59,9395.18,9114,13798.8,16085.39,15529.15,19184.32,21150.01,21878.4,24109.8
青海省,4377.23,4157.23,3959,4361.7,5635.18,5529.44,6499.44,6284.94,7524.5,7955.8
宁夏回族自治区,139.91,46.06,211,190.9,202.77,709.96,2299.47,2313.96,2180.6,2370.6
新疆维吾尔自治区,41883.22,41385.88,43643,46664,51163.47,56299.1,56464.74,58393.63,58878.6,60112.7
