province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
全国,11.04,11.43,12.21,12.79,13.21,13.75,14.39,14.87,15.34,15.6
北京,7.4,5.6,6.21,6.15,5.57,5.26,7.57,7.61,7.44,7.62
天津,13.98,11.94,14.39,13.76,14.89,17.05,17.88,18.74,16.71,16.02
河北省,12.38,13.59,14.49,15.32,17.35,17.84,17.84,18.22,18.49,18.65
山西省,9.06,8.55,9.54,10.02,10.66,11.21,11.79,12.88,13.34,13.52
内蒙古自治区,10.34,12.23,12.76,13.62,14.89,15.77,17.67,19.69,21.1,22.61
辽宁省,8.51,9.61,9.95,10.41,11.19,11.27,11.55,12.09,12.75,13.43
吉林省,8.51,9.56,10.39,10.94,12.39,11.9,12.61,13.61,14.62,14.52
黑龙江省,8.47,8.73,9.28,9.39,10,11.2,11.83,13.15,13.32,13.14
上海,11.84,4.5,4.63,4.48,4.04,4.04,4.08,4.11,4.11,4.27
江苏省,15.45,19.28,20.28,20.42,21.26,21.86,22.35,23.22,23.89,24.42
浙江省,12.21,14.6,15.2,16.03,16.7,17.53,17.88,17.83,18.4,18.12
安徽省,12.28,13.55,14.15,14.91,16.01,18,18.47,19.61,20.33,20.82
福建省,9.63,10.98,12.05,12.58,12.58,13.46,14.13,13.4,13.61,13.8
江西省,9.61,10.5,11.06,12.1,13.77,14.4,14.99,15.26,15.77,16.6
山东省,18.14,18.66,19.6,20.94,22.23,23.62,24.7,25.34,25.77,25.82
河南省,10,10.81,9.9,10.44,10.25,10.83,11.08,11.57,11.67,12.06
湖北省,12.06,12.76,13.03,13.84,14.08,14.78,15.85,15.85,16.57,16.15
湖南省,10.01,11.41,12.01,12.59,12.95,13.62,13.49,13.8,13.76,14.27
广东省,9.65,9.44,11.65,12.63,12.69,12.51,13.42,13.11,13.2,13.6
广西壮族自治区,10.77,11.28,11.83,13.98,14.31,14.34,14.74,15.53,15.75,16.28
海南省,14.21,12.5,12.05,13.28,13.81,18.42,18.85,18.72,17.97,17.37
重庆市,8.14,9.16,9.49,9.78,9.37,10.43,10.67,11.23,11.68,12.05
四川省,9.46,10.33,10.78,11.5,11.84,12.14,12.72,13.24,13.32,13.63
贵州省,5.35,6.21,6.22,6.29,6.65,6.63,6.8,9.58,10.33,11.22
云南省,7.47,9.28,12.09,10,10.9,11.97,11.92,12.29,17.12,14.23
西藏自治区,16.44,15.51,13.46,13.32,13.25,13.48,14.22,13.19,14.44,24.98
陕西省,9.07,11.58,12.67,12.86,13.38,13.72,14.71,14.74,15.38,15.67
甘肃省,11.34,9.83,10.37,11.29,12.2,12.58,12.56,14.02,15.3,15.18
青海省,9.33,10.53,11.16,11.47,11.42,11.22,11.17,10.9,11.08,10.63
宁夏回族自治区,15.49,17.16,14.82,16.57,17.35,17.9,17.56,18.81,23.16,22.52
新疆维吾尔自治区,12.13,13.32,12.47,12.55,13.19,13.74,14.16,15.69,16.46,17.69
