province,2006,2007,2008,2009,2010,2011,2012,2013
全国,41040,40813,40828,40858,40906,40466,40446,40497
北京,314,317,317,322,322,322,325,325
天津,242,244,243,243,243,244,245,240
河北省,2233,2220,2228,2228,2227,2233,2234,2246
山西省,1389,1396,1397,1397,1397,1397,1397,1398
内蒙古自治区,861,854,858,863,863,909,1010,1010
辽宁省,1522,1498,1498,1504,1507,1508,1515,1521
吉林省,887,890,894,897,897,898,895,900
黑龙江省,1270,1270,1272,1272,1278,1278,1278,1279
上海,213,211,213,210,210,209,208,208
江苏省,1388,1355,1342,1334,1307,1300,1281,1265
浙江省,1519,1516,1511,1513,1512,1346,1341,1324
安徽省,1625,1519,1523,1520,1523,1522,1509,1508
福建省,1104,1101,1101,1102,1102,1102,1104,1104
江西省,1526,1528,1530,1535,1539,1539,1540,1546
山东省,1932,1869,1868,1872,1874,1857,1824,1826
河南省,2355,2356,2358,2361,2371,2381,2399,2406
湖北省,1219,1223,1228,1227,1230,1233,1232,1232
湖南省,2407,2403,2404,2409,2419,2426,2388,2407
广东省,1579,1580,1584,1584,1581,1585,1586,1585
广西壮族自治区,1230,1230,1231,1232,1234,1235,1243,1247
海南省,220,222,222,222,222,222,222,224
重庆市,1022,1026,1007,1009,1014,1012,1012,1016
四川省,4660,4657,4657,4660,4668,4672,4660,4657
贵州省,1543,1543,1553,1555,1560,1558,1518,1507
云南省,1368,1370,1373,1366,1366,1362,1365,1388
西藏自治区,691,691,692,692,692,692,693,694
陕西省,1745,1745,1745,1745,1745,1418,1418,1420
甘肃省,1342,1343,1347,1350,1351,1353,1345,1347
青海省,396,396,398,396,396,396,396,395
宁夏回族自治区,229,231,232,233,235,237,237,237
新疆维吾尔自治区,1009,1009,1002,1005,1021,1020,1026,1035
