province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
北京,1093.8,1132,1181,1224,1383,1428,1464,1498,1525,1541
天津,2590.1,2912,2858,2716,2752,2636,2782,2843,3328,3492
河北省,2443.8,2376,2375,2344,2354,2362,2411,2483,2540,2646
山西省,2487.8,2914,2918,2931,2890,2977,3028,3526,3974,3920
内蒙古自治区,597.8,622,649,951,981,764,1032,1059,1291,1629
辽宁省,2271,1945,1916,1922,1814,1712,1624,1663,1615,1590
吉林省,1546.8,1504,1368,1396,1449,2371,2878,3135,3171,3193
黑龙江省,3840,3436,4486,4321,5239,5146,5054,4922,4946,5504
上海,2774.2,2930,2978,3030,3630,3702,3754,3809,3826,3809
江苏省,2363.8,2050,1905,2152,2027,2013,2002,2016,2038,2034
浙江省,2087.1,1748,1757,1742,1773,1741,1786,1818,1828,1914
安徽省,2030.4,2114,2043,2114,2469,2265,2401,2359,2416,2458
福建省,2057.4,2055,2055,2193,2290,2306,2388,2570,2627,2704
江西省,4546.9,4407,4680,4757,4786,4527,4663,4542,4671,4822
山东省,1859.9,1449,1413,1415,1389,1389,1349,1361,1426,1452
河南省,5305.7,5902,5967,4886,5178,5124,4964,4982,5149,5155
湖北省,1890.2,1732,1823,1845,1929,1969,2004,2505,2448,2430
湖南省,3163.8,3753,3380,3276,2992,2908,3030,3317,3402,3261
广东省,2673.6,2686,2370,2402,2428,2637,2927,3066,2999,3060
广西壮族自治区,1617.9,1464,1461,1391,1498,1569,1528,1543,1684,1823
海南省,3230.3,2525,2731,2568,2739,2639,2079,1946,2069,2045
重庆市,1473.6,1527,1574,1637,1860,1830,1832,1847,1872,1904
四川省,2653.3,2587,2677,2737,2743,2782,2866,2900,3068,1902
贵州省,3044.6,3094,3172,3217,3266,3502,3324,3406,2393,2396
云南省,3080.7,3322,3386,3561,3795,3811,4029,2415,2853,2943
西藏自治区,1146.3,1258,1557,1574,575,515,1655,1820,1857,1750
陕西省,6307.4,5938,5488,5530,5506,5821,5483,5541,5474,4031
甘肃省,3890.6,3807,3802,3814,3793,3824,4369,3916,3682,4049
青海省,2112.9,1962,2051,2189,2320,2487,2674,2924,2604,2692
宁夏回族自治区,6144.6,840,883,902,1093,1147,1251,1253,1295,1336
新疆维吾尔自治区,5403.2,4836,4987,4922,4977,4563,4312,4361,4280,2557
