province,2006,2007,2008,2009,2010,2011,2012,2013,2014
北京,30.63,25.795,20.96,13.205,5.45,30.57,38.51,39,42.96
天津,23.54,21.76,19.98,10.86,1.74,21.88,24.33,32.72,40.64
河北,16.92,29.925,42.93,22.4,1.87,42.72,29.39,34.43,29.16
山西,17.84,18.99,20.14,10.465,0.79,20.53,44.12,51.38,55.39
内蒙古,33.96,36.54,39.12,19.59,0.06,21.14,32.93,35.39,38.07
辽宁,27.15,24.01,20.87,12.37,3.87,18.69,39.98,40.39,51.53
吉林,14.79,16.28,17.77,9.585,1.4,14,35.22,39.26,35.41
黑龙江,16.1,16.07,16.04,8.355,0.67,47.13,54.34,46.83,50.26
上海,19.03,22.81,26.59,15.12,3.65,32.1,30.06,44.23,48.4
江苏,26.83,26.2,25.57,14.61,3.65,25.12,18.77,22.82,23.71
浙江,19.03,20.975,22.92,14.08,5.24,19.44,29.7,33.31,33.03
安徽,32.27,27.43,22.59,14.485,6.38,22.57,23.85,50.78,57.34
福建,62.66,42.125,21.59,15.23,8.87,68.46,55.76,53.65,53.82
江西,18.86,22.97,27.08,14.89,2.7,24.18,15.36,32.14,41.65
山东,19.35,21.36,23.37,18.94,14.51,36.2,56.16,57.01,56.82
河南,20.99,21.695,22.4,12.04,1.68,37.26,20.39,36.92,44.62
湖北,19.03,19.82,20.61,13.025,5.44,42.7,33.58,20.34,33.7
湖南,18.93,22.195,25.46,13.01,0.56,20.18,27.41,22.52,65.18
广东,20.44,22.61,24.78,18.875,12.97,25.12,30.85,45.13,50.47
广西,17.01,17.835,18.66,17.635,16.61,38.68,46.81,45.93,42.59
海南,15.78,17.17,18.56,11.475,4.39,77.7,28.3,44.52,40.88
重庆,16.46,19.11,21.76,13.3,4.84,30.54,32.98,30.22,41.33
四川,22.24,23.41,24.58,14.53,4.48,20.86,24.85,23.6,24.83
贵州,19.45,17.595,15.74,8.685,1.63,20.61,29.15,19.44,33.96
云南,15.21,17.08,18.95,10.235,1.52,23.82,32.49,22.77,34.74
西藏,19.64,18.75,17.86,9.1,0.34,50.89,11.52,41.07,27.94
陕西,18.66,20.94,23.22,17.185,11.15,20.77,19.23,19.76,27.92
甘肃,14.79,17.08,19.37,10.47,1.57,26.79,42.56,42.39,38.21
青海,20.58,19.305,18.03,9.35,0.67,20.84,23.36,20.73,25.21
宁夏,16.32,16.09,15.86,14.005,12.15,23.07,21.89,25.29,65.53
新疆,18.46,31.01,43.56,25.29,7.02,51.96,59.37,43.38,54.34
