province,2008,2009,2010,2011,2012,2013,2014
北京,9.58,9.87,7.66,7.985,8.31,8.695,9.08
天津,9.19,9.43,6.98,7.925,8.87,9.02,9.17
河北,7.16,7.27,5.07,5.325,5.58,5.885,6.19
山西,6.18,6.11,4.6,4.745,4.89,5.08,5.27
内蒙古,6.15,6.27,4.56,4.95,5.34,5.22,5.1
辽宁,8.31,8.76,6.36,6.505,6.65,6.825,7
吉林,6.99,7.09,5.49,5.82,6.15,6.285,6.42
黑龙江,6.07,6.11,4.84,5.425,6.01,6.115,6.22
上海,10.42,10.96,8.74,8.705,8.67,9.225,9.78
江苏,10.58,11.54,8.58,9.265,9.95,9.79,9.63
浙江,11.16,11.8,8.23,8.78,9.33,9.555,9.78
安徽,7.64,7.88,6.18,6.27,6.36,6.91,7.46
福建,8.78,9.02,6.63,6.95,7.27,7.67,8.07
江西,7.48,7.65,5.66,5.7,5.74,6.265,6.79
山东,8.77,8.93,6.87,7.14,7.41,7.67,7.93
河南,7.78,8.04,6.19,6.335,6.48,6.74,7
湖北,7.33,7.65,5.59,5.955,6.32,6.8,7.28
湖南,7.18,7.39,5.49,5.61,5.73,6.26,6.79
广东,10.25,10.42,7.73,8.05,8.37,8.86,9.35
广西,6.2,6.17,5.11,5.65,6.19,6.35,6.51
海南,6.44,6.4,4.59,5.015,5.44,5.69,5.94
重庆,7.87,8.14,6.14,6.515,6.89,7.335,7.78
四川,7.23,7.56,5.8,5.95,6.1,6.36,6.62
贵州,5.56,5.56,3.55,3.955,4.36,4.605,4.85
云南,6.04,6.06,5.01,4.75,4.49,4.715,4.94
西藏,1.36,0.38,0.44,0.22,0,0.31,0.62
陕西,5.66,5.65,3.95,4.565,5.18,5.77,6.36
甘肃,4.88,4.98,3.43,3.405,3.38,3.71,4.04
青海,3.45,3.25,2.53,2.585,2.64,2.585,2.53
宁夏,5.78,5.94,3.92,4.145,4.37,4.815,5.26
新疆,5.23,5.12,2.87,2.905,2.94,3.215,3.49
