province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
北京,1296.84,1649.5,1959.29,2319.37,2717.32,3245.23,3685.31,4173.66,4524.67,5737.7
天津,543.12,674.33,867.72,1124.28,1376.84,1796.33,2143.21,2549.21,2884.7,3232.35
河北省,1180.36,1506.65,1881.67,2347.59,2820.24,3537.39,4079.44,4409.58,4677.3,5632.19
山西省,915.57,1049.92,1315.02,1561.7,1931.36,2363.85,2759.46,3030.13,3085.28,3422.97
内蒙古自治区,812.13,1082.31,1454.57,1926.84,2273.5,2989.21,3425.99,3686.52,3879.98,4252.96
辽宁省,1422.75,1764.28,2153.43,2682.39,3195.82,3905.85,4558.59,5197.42,5080.49,4481.61
吉林省,718.36,883.76,1180.12,1479.21,1787.25,2201.74,2471.2,2744.81,2913.25,3217.1
黑龙江省,968.53,1187.27,1542.3,1877.74,2253.27,2794.08,3171.52,3369.18,3434.22,4020.66
上海,1795.57,2181.68,2593.92,2989.65,3302.89,3914.88,4184.02,4528.61,4923.44,6191.56
江苏省,2013.25,2553.72,3247.49,4017.36,4914.06,6221.72,7027.67,7798.47,8472.45,9687.58
浙江省,1471.86,1806.79,2208.58,2653.35,3207.88,3842.59,4161.88,4730.47,5159.57,6645.98
安徽省,940.23,1243.83,1647.13,2141.92,2587.61,3302.99,3961.01,4349.69,4664.1,5239.01
福建省,728.7,910.64,1137.72,1411.82,1695.09,2198.18,2607.5,3068.8,3306.7,4001.58
江西省,696.44,905.06,1210.07,1562.37,1923.26,2534.6,3019.22,3470.3,3882.7,4412.55
山东省,1833.44,2261.85,2704.66,3267.67,4145.03,5002.07,5904.52,6688.8,7177.31,8250.01
河南省,1440.09,1870.61,2281.61,2905.76,3416.14,4248.82,5006.4,5582.31,6028.69,6799.35
湖北省,1047,1277.33,1650.28,2090.92,2501.4,3214.74,3759.79,4371.65,4934.15,6132.84
湖南省,1064.52,1357.03,1765.22,2210.44,2702.48,3520.76,4119,4690.89,5017.38,5728.72
广东省,2553.34,3159.57,3778.57,4334.37,5421.54,6712.4,7387.86,8411,9152.64,12827.8
广西壮族自治区,729.52,985.94,1297.11,1621.82,2007.59,2545.28,2985.23,3208.67,3479.79,4065.51
海南省,174.54,245.2,357.97,486.06,581.34,778.8,911.67,1011.17,1099.74,1239.43
重庆市,594.25,768.39,1016.01,1292.09,1709.04,2570.24,3046.36,3062.28,3304.39,3792
四川省,1347.39,1759.13,2948.83,3590.72,4257.98,4674.92,5450.99,6220.91,6796.61,7497.51
贵州省,610.64,795.4,1053.79,1372.27,1631.48,2249.4,2755.68,3082.66,3542.8,3939.5
云南省,893.58,1135.22,1470.24,1952.34,2285.72,2929.6,3572.66,4096.51,4437.98,4712.83
西藏自治区,200.2,275.37,380.66,470.13,551.04,758.11,905.34,1014.31,1185.51,1381.46
陕西省,824.18,1053.97,1428.52,1841.64,2218.83,2930.81,3323.8,3665.07,3962.5,4376.06
甘肃省,528.59,675.34,968.43,1246.28,1468.58,1791.24,2059.56,2309.62,2541.49,2958.31
青海省,214.66,282.2,363.6,486.75,743.4,967.47,1159.05,1228.05,1347.43,1515.16
宁夏回族自治区,193.21,241.85,324.61,432.36,557.53,705.91,864.36,922.48,1000.45,1138.49
新疆维吾尔自治区,678.47,795.15,1059.36,1346.91,1698.91,2284.49,2720.07,3067.12,3317.79,3804.87
