NAME_1,Shape_Leng,Shape_Area
Anhui,30.51943069,13.36873959
Beijing,1.73489095,
Chongqing,7.713129105,
Fujian,76.74323601,11.03551292
Gansu,41.50390172,
Guangdong,78.45025669,15.70086833
Guangxi,20.96070669,
Guizhou,33.91395425,15.97827716
Hainan,18.17072693,2.925935553
Hebei,49.90346465,19.66350009
Heilongjiang,69.0553919,54.6986162
Henan,31.7426799,16.13473482
Hubei,35.48242649,17.56576437
Hunan,33.86221617,19.3925223
Jiangsu,32.30099599,9.81120663
Jiangxi,27.40581526,15.27170054
Jilin,41.51791471,21.31905544
Liaoning,58.29002758,15.67753266
Nei Mongol,132.3068034,129.113759
Ningxia Hui,5.269146323,
Paracel Islands,1.436336461,0.001666142
Qinghai,61.12657571,71.35189524
Shaanxi,39.38290281,20.39026391
Shandong,53.92722974,15.61451469
Shanghai,0.651444726,
Shanxi,25.26223845,15.96466714
Sichuan,59.87728945,45.53715282
Tianjin,1.221815513,
Xinjiang Uygur,84.22436165,174.965629
Xizang,79.02916006,107.4889205
Yunnan,58.2100873,34.25967777
Zhejiang,82.62652679,9.535089272
Anhui,30.51943069,13.36873959
Beijing,1.73489095,
Chongqing,7.713129105,
Fujian,76.74323601,11.03551292
Gansu,41.50390172,
Guangdong,78.45025669,15.70086833
Guangxi,20.96070669,
Guizhou,33.91395425,15.97827716
Hainan,18.17072693,2.925935553
Hebei,49.90346465,19.66350009
Heilongjiang,69.0553919,54.6986162
Henan,31.7426799,16.13473482
Hubei,35.48242649,17.56576437
Hunan,33.86221617,19.3925223
Jiangsu,32.30099599,9.81120663
Jiangxi,27.40581526,15.27170054
Jilin,41.51791471,21.31905544
Liaoning,58.29002758,15.67753266
Nei Mongol,132.3068034,129.113759
Ningxia Hui,5.269146323,
Paracel Islands,1.436336461,0.001666142
Qinghai,61.12657571,71.35189524
Shaanxi,39.38290281,20.39026391
Shandong,53.92722974,15.61451469
Shanghai,0.651444726,
Shanxi,25.26223845,15.96466714
Sichuan,59.87728945,45.53715282
Tianjin,1.221815513,
Xinjiang Uygur,84.22436165,174.965629
Xizang,79.02916006,107.4889205
Yunnan,58.2100873,34.25967777
Zhejiang,82.62652679,9.535089272
Anhui,30.51943069,13.36873959
Beijing,1.73489095,
Chongqing,7.713129105,
Fujian,76.74323601,11.03551292
Gansu,41.50390172,
Guangdong,78.45025669,15.70086833
Guangxi,20.96070669,
Guizhou,33.91395425,15.97827716
Hainan,18.17072693,2.925935553
Hebei,49.90346465,19.66350009
Heilongjiang,69.0553919,54.6986162
Henan,31.7426799,16.13473482
Hubei,35.48242649,17.56576437
Hunan,33.86221617,19.3925223
Jiangsu,32.30099599,9.81120663
Jiangxi,27.40581526,15.27170054
Jilin,41.51791471,21.31905544
Liaoning,58.29002758,15.67753266
Nei Mongol,132.3068034,129.113759
Ningxia Hui,5.269146323,
Paracel Islands,1.436336461,0.001666142
Qinghai,61.12657571,71.35189524
Shaanxi,39.38290281,20.39026391
Shandong,53.92722974,15.61451469
Shanghai,0.651444726,
Shanxi,25.26223845,15.96466714
Sichuan,59.87728945,45.53715282
Tianjin,1.221815513,
Xinjiang Uygur,84.22436165,174.965629
Xizang,79.02916006,107.4889205
Yunnan,58.2100873,34.25967777
Zhejiang,82.62652679,9.535089272
