province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
全国,30009.24,32123.63,34049.62,37074.2,37793.2,40206.41,43789.88,46428.84,49451.78,51939.5
天津,275.75,318.62,314.2,311.1,288.64,273.66,278.78,279.79,278.53,274.3
河北省,240.59,302.66,303.9,294,359.32,333.1,315.37,325.86,324.49,317
山西省,0,0,0,0,0,0,0,0,75.95,419.1
内蒙古自治区,1643.04,3266.44,5635.41,6721.3,7149.44,8040.48,8344.3,8042.54,8098.14,8149.1
辽宁省,202.91,209.21,197.41,187.1,209.43,194.82,178.54,169.46,156.57,149.9
吉林省,167.84,670.18,690.33,677,681.26,827.29,776.22,756.35,667.81,685
黑龙江省,935.83,1391.39,1366.3,1338,1454.98,1407.46,1381.51,1353.93,1344.51,1317.9
江苏省,22.71,22.85,22.47,22.6,23.66,24.04,24.35,24.3,24.02,23.2
安徽省,0.02,0.04,0.04,,0.06,0.15,0.3,0.24,0.26,0.3
山东省,348.36,348.18,349.43,353.8,366.99,379.2,345.9,357.9,348.35,342.4
河南省,110.42,97.22,98.83,84.1,99.21,98.51,75.08,72.09,70.79,72.2
湖北省,3.85,3.76,4.19,4.4,4.68,4.57,49.68,48.79,4.42,47.4
广东省,0.31,0.31,0.31,0.3,0.31,0.3,0.3,0.5,0.5,0.5
广西壮族自治区,3.48,3.43,3.41,3.4,3.39,3.38,1.24,1.32,1.32,1.4
海南省,8.9,6.87,4.4,2.5,0.7,-4.24,-1.29,-3.45,3.69,3.1
重庆市,1135.76,1206.57,1558.82,1969.8,1921.02,1955.33,1928.31,2472.83,2456.55,2641.8
四川省,5462.78,5915.73,6061.6,6487,6763.11,7973.07,9351.09,11874.38,11708.56,12654.5
贵州省,4.61,4.54,4.53,4.5,10.61,10.5,5.44,6.39,6.31,6.1
云南省,2.86,2.79,2.63,2.5,2.41,2.32,2.24,0.8,0.8,0.5
陕西省,8587.65,7435.39,5709.24,5658.7,5628.11,5478,6376.26,6231.14,8047.88,7587.1
甘肃省,98.91,106.51,106.13,163.6,191.8,191.63,224.58,241.28,256.09,272
青海省,1496.1,1462.08,1418.49,1377.3,1321.89,1329.11,1281.6,1511.79,1457.94,1396.9
宁夏回族自治区,1.67,1.68,2.18,2.2,2.75,2.54,294.96,294.4,272.76,272.9
新疆维吾尔自治区,6598.24,6676.33,7543.69,8354.1,8616.43,8809.93,9324.37,9053.88,9746.2,10202
