province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
全国,12.09,12.1,12.14,12.13,11.9,11.93,12.1,12.08,12.37,12.07
北京,6.26,8.32,8.17,8.06,7.48,8.29,9.05,8.93,9.75,7.96
天津,7.67,7.91,8.13,8.3,8.18,8.58,8.75,8.28,8.19,5.84
河北省,12.82,13.33,13.04,12.93,13.22,13.02,12.88,13.04,13.18,11.35
山西省,11.48,11.3,11.32,10.87,10.68,10.47,10.7,10.81,10.92,9.98
内蒙古自治区,9.87,10.21,9.81,9.57,9.3,8.94,9.17,8.98,9.31,7.72
辽宁省,6.4,6.89,6.32,6.06,6.68,5.71,6.15,6.09,6.49,6.17
吉林省,7.67,7.55,6.65,6.69,7.91,6.53,5.73,5.36,6.62,5.87
黑龙江省,7.57,7.88,7.91,7.48,7.35,6.99,7.3,6.86,7.37,6
上海,7.47,9.07,8.89,8.64,7.05,6.97,9.56,8.18,8.35,7.52
江苏省,9.36,9.37,9.34,9.55,9.73,9.59,9.44,9.44,9.45,9.05
浙江省,10.29,10.38,10.2,10.22,10.27,9.47,10.12,10.01,10.51,10.52
安徽省,12.6,12.75,13.05,13.07,12.7,12.23,13,12.88,12.86,12.92
福建省,12,11.9,12.2,12.2,11.27,11.41,12.74,12.2,13.7,13.9
江西省,13.8,13.86,13.92,13.87,13.72,13.48,13.46,13.19,13.24,13.2
山东省,11.6,11.11,11.25,11.7,11.65,11.5,11.9,11.41,14.23,12.55
河南省,11.59,11.26,11.42,11.45,11.52,11.56,11.87,12.27,12.8,12.7
湖北省,9.08,9.19,9.21,9.48,10.36,10.39,11,11.08,11.86,10.74
湖南省,11.92,11.96,12.68,13.05,13.1,13.35,13.58,13.5,13.52,13.58
广东省,11.78,11.96,11.8,11.78,11.18,10.45,11.6,10.71,10.8,11.12
广西壮族自治区,14.44,14.19,14.4,14.17,14.13,13.71,14.2,14.28,14.07,14.05
海南省,14.59,14.62,14.71,14.66,14.71,14.72,14.66,14.59,14.56,14.57
重庆市,9.9,10.1,10.1,9.9,9.17,9.88,10.86,10.37,10.67,11.05
四川省,9.14,9.21,9.54,9.15,8.93,9.79,9.89,9.9,10.22,10.3
贵州省,13.97,13.28,13.49,13.65,13.96,13.31,13.27,13.05,12.98,13
云南省,13.2,13.08,12.63,12.53,13.1,12.71,12.63,12.6,12.65,12.88
西藏自治区,17.4,16.4,15.5,15.31,15.8,15.39,15.48,15.77,15.76,15.75
陕西省,10.19,10.21,10.29,10.24,9.73,9.75,10.12,10.01,10.13,10.1
甘肃省,12.86,13.14,13.22,13.32,12.05,12.08,12.11,12.16,12.21,12.36
青海省,15.24,14.93,14.49,14.51,14.94,14.43,14.3,14.16,14.67,14.72
宁夏回族自治区,15.53,14.8,14.31,14.38,14.14,13.65,13.26,13.12,13.1,12.62
新疆维吾尔自治区,15.79,16.79,16.05,15.99,15.99,14.99,15.32,15.84,16.44,15.59
