province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
全国,6.81,6.93,7.06,7.08,7.11,7.14,7.15,7.16,7.16,7.11
北京,4.97,4.92,4.75,4.56,4.41,4.27,4.31,4.52,4.92,4.95
天津,6.07,5.86,5.94,5.7,5.58,6.08,6.12,6,6.05,5.61
河北省,6.59,6.78,6.49,6.43,6.41,6.52,6.41,6.87,6.23,5.79
山西省,5.73,5.97,6.01,5.98,5.38,5.61,5.83,5.57,5.93,5.56
内蒙古自治区,5.91,5.73,5.54,5.61,5.54,5.43,5.52,5.62,5.75,5.32
辽宁省,5.3,5.36,5.22,5.09,6.26,6.05,6.54,6.12,6.23,6.59
吉林省,5,5.05,5.04,4.74,5.88,5.51,5.37,5.04,6.22,5.53
黑龙江省,5.18,5.39,5.68,5.42,5.03,5.92,6.03,6.08,6.46,6.6
上海,5.89,6.03,6.17,5.94,5.07,5.1,5.36,5.24,5.21,5.07
江苏省,7.08,7.07,7.04,6.99,6.88,6.98,6.99,7.01,7.02,7.03
浙江省,5.42,5.57,5.62,5.59,5.54,5.4,5.52,5.45,5.51,5.5
安徽省,6.3,6.4,6.6,6.6,5.95,5.91,6.14,6.06,5.89,5.94
福建省,5.75,5.9,5.9,6,5.16,5.2,5.73,6.01,6.2,6.1
江西省,6.01,5.99,6.01,5.98,6.06,5.98,6.14,6.28,6.26,6.24
山东省,6.1,6.11,6.16,6.08,6.26,6.4,6.95,6.4,6.84,6.67
河南省,6.27,6.32,6.45,6.46,6.57,6.62,6.71,6.76,7.02,7.05
湖北省,5.95,5.96,6.5,6,6.02,6.01,6.12,6.15,6.96,5.83
湖南省,6.73,6.71,7.28,6.94,6.7,6.8,7.01,6.96,6.89,6.86
广东省,4.49,4.66,4.55,4.52,4.21,4.35,4.65,4.69,4.7,4.32
广西壮族自治区,6.1,5.99,5.7,5.64,5.48,6.04,6.31,6.35,6.21,6.15
海南省,5.73,5.71,5.72,5.7,5.73,5.75,5.81,5.9,5.95,6
重庆市,6.5,6.3,6.3,6.2,6.4,6.71,6.86,6.77,7.05,7.19
四川省,6.28,6.29,7.15,6.43,6.62,6.81,6.92,6.9,7.02,6.94
贵州省,6.71,6.6,6.77,6.69,6.55,6.93,6.96,7.15,7.18,7.2
云南省,6.3,6.22,6.31,6.45,6.56,6.36,6.41,6.43,6.45,6.48
西藏自治区,5.7,5.1,5.2,5.07,5.55,5.13,5.21,5.39,5.21,5.1
陕西省,6.15,6.16,6.21,6.24,6.01,6.06,6.24,6.15,6.26,6.28
甘肃省,6.62,6.65,6.68,6.71,6.02,6.03,6.05,6.08,6.11,6.15
青海省,6.27,6.13,6.14,6.19,6.31,6.12,6.06,6.13,6.18,6.17
宁夏回族自治区,4.84,5.04,4.62,4.7,5.1,4.68,4.33,4.5,4.53,4.58
新疆维吾尔自治区,5.03,5.01,4.88,5.43,5.43,4.42,4.48,4.92,4.97,4.51
