province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
北京,1601,1676,1771,1860,1962,2019,2069,2115,2152,2171
天津,1075,1115,1176,1228,1299,1355,1413,1472,1517,1547
河北省,6898,6943,6989,7034,7194,7241,7288,7333,7384,7425
山西省,3375,3393,3411,3427,3574,3593,3611,3630,3648,3664
内蒙古自治区,2415,2429,2444,2458,2472,2482,2490,2498,2505,2511
辽宁省,4271,4298,4315,4341,4375,4383,4389,4390,4391,4382
吉林省,2723,2730,2734,2740,2747,2749,2750,2751,2752,2753
黑龙江省,3823,3824,3825,3826,3833,3834,3834,3835,3833,3812
上海,1964,2064,2141,2210,2303,2347,2380,2415,2426,2415
江苏省,7656,7723,7762,7810,7869,7899,7920,7939,7960,7976
浙江省,5072,5155,5212,5276,5447,5463,5477,5498,5508,5539
安徽省,6110,6118,6135,6131,5957,5968,5988,6030,6083,6144
福建省,3585,3612,3639,3666,3693,3720,3748,3774,3806,3839
江西省,4339,4368,4400,4432,4462,4488,4504,4522,4542,4566
山东省,9309,9367,9417,9470,9588,9637,9685,9733,9789,9847
河南省,9392,9360,9429,9487,9405,9388,9406,9413,9436,9480
湖北省,5693,5699,5711,5720,5728,5758,5779,5799,5816,5852
湖南省,6342,6355,6380,6406,6570,6596,6639,6691,6737,6783
广东省,9442,9660,9893,10130,10441,10505,10594,10644,10724,10849
广西壮族自治区,4719,4768,4816,4856,4610,4645,4682,4719,4754,4796
海南省,836,845,854,864,869,877,887,895,903,911
重庆市,2808,2816,2839,2859,2885,2919,2945,2970,2991,3017
四川省,8169,8127,8138,8185,8045,8050,8076,8107,8140,8204
贵州省,3690,3632,3596,3537,3479,3469,3484,3502,3508,3530
云南省,4483,4514,4543,4571,4602,4631,4659,4687,4714,4742
西藏自治区,285,289,292,296,300,303,308,312,318,324
陕西省,3699,3708,3718,3727,3735,3743,3753,3764,3775,3793
甘肃省,2547,2548,2551,2555,2560,2564,2578,2582,2591,2600
青海省,548,552,554,557,563,568,573,578,583,588
宁夏回族自治区,604,610,618,625,633,639,647,654,662,668
新疆维吾尔自治区,2050,2095,2131,2159,2185,2209,2233,2264,2298,2360
