province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
北京,1117.15,1492.64,1837.32,2026.81,2353.93,3006.28,3314.93,3661.11,4027.16,4723.86
天津,417.05,540.44,675.62,821.99,1068.81,1455.13,1760.02,2079.07,2390.35,2667.11
河北省,620.53,789.12,947.59,1067.12,1331.85,1737.77,2084.28,2295.62,2446.62,2649.18
山西省,583.38,597.89,748,805.83,969.67,1213.43,1516.38,1701.62,1820.64,1642.35
内蒙古自治区,343.38,492.36,650.68,850.86,1069.98,1356.67,1552.75,1720.98,1843.67,1964.48
辽宁省,817.67,1082.69,1356.08,1591.22,2004.84,2643.15,3105.38,3343.81,3192.78,2127.39
吉林省,245.21,320.69,422.8,487.09,602.41,850.1,1041.25,1156.96,1203.38,1229.35
黑龙江省,386.84,440.47,578.28,641.66,755.58,997.55,1163.17,1277.4,1301.31,1165.88
上海,1576.07,2074.48,2358.75,2540.3,2873.58,3429.83,3743.71,4109.51,4585.55,5519.5
江苏省,1656.68,2237.73,2731.41,3228.78,4079.86,5148.91,5860.69,6568.46,7233.14,8028.59
浙江省,1298.2,1649.5,1933.39,2142.51,2608.47,3150.8,3441.23,3796.92,4122.02,4809.94
安徽省,428.03,543.7,724.62,863.92,1149.4,1463.56,1792.72,2075.08,2218.44,2454.3
福建省,541.17,699.46,833.4,932.43,1151.49,1501.51,1776.17,2119.45,2362.21,2544.24
江西省,305.52,389.85,488.65,581.3,778.09,1053.43,1371.99,1621.24,1881.83,2165.74
山东省,1356.25,1675.4,1957.05,2198.63,2749.38,3455.93,4059.43,4559.95,5026.83,5529.33
河南省,679.17,862.08,1008.9,1126.06,1381.32,1721.76,2040.33,2415.45,2739.26,3016.05
湖北省,476.08,590.36,710.85,814.87,1011.23,1526.91,1823.05,2191.22,2566.9,3005.53
湖南省,477.93,606.55,722.71,847.62,1081.69,1517.07,1782.16,2030.88,2262.79,2515.43
广东省,2179.46,2785.8,3310.32,3649.81,4517.04,5514.84,6229.18,7081.47,8065.08,9366.78
广西壮族自治区,342.58,418.83,518.42,620.99,771.99,947.72,1166.06,1317.6,1422.28,1515.16
海南省,81.81,108.29,144.86,178.24,270.99,340.12,409.44,481.01,555.31,627.7
重庆市,317.72,442.7,577.57,655.17,952.07,1488.33,1703.49,1693.24,1922.02,2154.83
四川省,607.59,850.86,1041.66,1174.59,1561.67,2044.79,2421.27,2784.1,3061.07,3355.44
贵州省,226.82,285.14,347.84,416.48,533.73,773.08,1014.05,1206.41,1366.67,1503.38
云南省,379.97,486.71,614.05,698.25,871.19,1111.16,1338.15,1611.3,1698.06,1808.15
西藏自治区,14.56,20.14,24.88,30.09,36.65,54.76,86.58,95.02,124.27,137.13
陕西省,362.48,475.24,591.48,735.27,958.21,1500.18,1600.69,1748.33,1890.4,2059.95
甘肃省,141.22,190.91,264.97,286.59,353.58,450.12,520.4,607.27,672.67,743.86
青海省,42.24,56.71,71.57,87.74,110.22,151.81,186.42,223.86,251.68,267.13
宁夏回族自治区,61.36,80.03,95.01,111.58,153.55,219.98,263.96,308.34,339.86,373.45
新疆维吾尔自治区,219.46,285.86,361.06,388.78,500.58,720.43,908.97,1128.49,1282.34,1330.85
