province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
北京,50467,58204,63029,70452,75943,81658,87475,93213,99995,106497
天津,41163,46122,55473,62574,72994,85213,93173,99607,105231,107960
河北省,16962,19877,23239,24581,28668,33969,36584,38716,39984,40255
山西省,14123,16945,20398,21522,26283,31357,33628,34813,35070,34919
内蒙古自治区,20053,25393,32214,40282,47347,57974,63886,67498,71046,71101
辽宁省,21788,25729,31259,35239,42355,50760,56649,61686,65201,65354
吉林省,15720,19383,23514,26595,31599,38460,43415,47191,50160,51086
黑龙江省,16195,18478,21727,22447,27076,32819,35711,37509,39226,39462
上海,57695,66367,73124,78989,76074,82560,85373,90092,97370,103796
江苏省,28814,33928,39622,44744,52840,62290,68347,74607,81874,87995
浙江省,31874,37411,42214,44641,51711,59249,63374,68462,73002,77644
安徽省,10055,12045,14485,16408,20888,25659,28792,31684,34425,35997
福建省,21471,25908,30123,33840,40025,47377,52763,57856,63472,67966
江西省,10798,12633,14781,17335,21253,26150,28800,31771,34674,36724
山东省,23794,27807,33083,35894,41106,47335,51768,56323,60879,64168
河南省,13313,16012,19593,20597,24446,28661,31499,34174,37072,39123
湖北省,13296,16206,19860,22677,27906,34197,38572,42613,47145,50654
湖南省,11950,14492,17521,20428,24719,29880,33480,36763,40271,42754
广东省,28332,33151,37589,41166,44736,50807,54095,58540,63469,67503
广西壮族自治区,10296,12555,14966,16045,20219,25326,27952,30588,33090,35190
海南省,12654,14555,17175,19254,23831,28898,32377,35317,38924,40818
重庆市,12457,14660,18025,22920,27596,34500,38914,42795,47850,52321
四川省,10546,12893,15378,17339,21182,26133,29608,32454,35128,36775
贵州省,5787,6915,8824,10309,13119,16413,19710,22922,26437,29847
云南省,8970,10540,12587,13539,15752,19265,22195,25083,27264,28806
西藏自治区,10430,12109,13861,15295,17319,20077,22936,26068,29252,31999
陕西省,12138,14607,18246,21688,27133,33464,38564,42692,46929,47626
甘肃省,8757,10346,12110,12872,16113,19595,21978,24296,26433,26165
青海省,11762,14257,17389,19454,24115,29522,33181,36510,39671,41252
宁夏回族自治区,11847,14649,17892,21777,26860,33043,36394,39420,41834,43805
新疆维吾尔自治区,15000,16999,19893,19942,25034,30087,33796,37181,40648,40036
