province,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
北京市,380963,201027,177105,149355,134364,119206,106600,98295,87621,69700
天津市,181328,144146,127423,118913,114806,109624,97700,93814,82888,68600
河北省,73624,62135,54542,48960,45700,40348,37000,33841,29113,24700
山西省,41107,39119,34182,31963,31899,22929,20500,18000,17787,11100
内蒙古自治区,35142,26449,22911,25802,25519,23243,24000,22155,17148,14800
辽宁省,206639,198641,183207,185564,165969,147615,131800,124756,108767,94500
吉林省,35230,33328,31779,23890,23253,22259,19300,17489,31334,30800
黑龙江省,22302,23983,22794,22247,20941,19617,18100,16170,14489,13700
上海市,661273,530467,457933,413768,377353,339385,308400,293991,257032,225500
江苏省,782154,718131,666376,625000,572851,508106,444400,415930,382030,324300
浙江省,291813,262881,240408,217810,201919,183233,164000,158255,145658,125700
安徽省,106486,48026,41612,39962,32884,30324,27900,25465,23755,18300
福建省,196713,173245,156516,145744,136898,124831,117500,112129,102706,87800
江西省,72578,67025,58770,53857,49081,43917,36900,33485,28969,23200
山东省,219334,199227,176491,158114,143374,124523,112000,101163,96311,88500
河南省,68710,58878,47787,46341,42353,37866,34700,29305,25656,23300
湖北省,89231,77671,65357,58274,51896,42864,37700,34030,31345,28000
湖南省,52147,46307,40486,38381,34958,32406,28000,26622,24324,21300
广东省,644310,562063,512640,478645,452466,421260,393900,372646,350705,314300
广西壮族自治区,42529,37396,31927,31143,29942,27973,27200,25826,21908,18000
海南省,31174,27888,26994,27072,22066,25886,90300,96659,94102,11800
重庆市,78845,67517,58841,53694,45194,34885,27800,23848,19774,9300
四川省,88409,82752,72490,64045,57419,54383,46100,42113,26868,19900
贵州省,18147,15472,11856,7670,5681,4132,3600,3215,2797,2600
云南省,32720,25253,24097,22561,20641,17949,15900,14106,11833,10700
西藏自治区,1997,1328,1311,1131,726,534,600,550,509,400
陕西省,51571,44734,36629,31130,19888,18044,16200,13692,16474,14900
甘肃省,7657,6764,6510,6979,6394,6289,4900,3827,3064,2800
青海省,7396,3095,2981,2829,3144,2349,2800,3311,2426,2000
宁夏回族自治区,8972,5164,3537,3098,4399,3964,2500,2449,2183,4400
新疆维吾尔自治区,8518,7586,6453,6655,5602,5229,4800,4560,3090,2600
