actual_origin_rate,actual_plan_rate,band,bp,day_string,item_sku_id,supp_brevity_cd,supp_name,vlt,z_value
1.0,1.0,L,35.5977454761,2016-07-13 00:00:00,1002144,gzxmcmy,广州美厨智能家居科技股份有限公司,9,-3.05021302495
1.0,1.0,L,24.3198054416,2016-08-02 00:00:00,1002144,gzxmcmy,广州美厨智能家居科技股份有限公司,8,0.890400192938
1.0,1.0,L,15.7604412924,2016-08-16 00:00:00,1002144,gzxmcmy,广州美厨智能家居科技股份有限公司,8,0.564747648879
1.0,1.0,L,18.5371128447,2016-08-30 00:00:00,1002144,gzxmcmy,广州美厨智能家居科技股份有限公司,8,2.54563554724
0.0,0.0,L,47.6320087099,2016-10-12 00:00:00,1002144,gzxmcmy,广州美厨智能家居科技股份有限公司,7,-1.74180598562
1.0,1.0,L,35.6862465206,2016-10-18 00:00:00,1002144,gzxmcmy,广州美厨智能家居科技股份有限公司,10,16.3489964395
1.0,1.0,L,42.1644413212,2016-10-19 00:00:00,1002144,gzxmcmy,广州美厨智能家居科技股份有限公司,9,7.46257005604
1.0,1.0,L,67.9194023093,2016-10-20 00:00:00,1002144,gzxmcmy,广州美厨智能家居科技股份有限公司,3,32.0794107733
1.0,1.0,D,12.7418593676,2016-08-09 00:00:00,1002148,gzxmcmy,广州美厨智能家居科技股份有限公司,9,1.88145029875
1.0,1.0,D,4.37402799378,2016-08-15 00:00:00,1002148,gzxmcmy,广州美厨智能家居科技股份有限公司,9,0.435430118725
1.0,1.0,D,4.48942179988,2016-08-16 00:00:00,1002148,gzxmcmy,广州美厨智能家居科技股份有限公司,8,2.64170506495
1.0,1.0,D,49.5724377246,2016-08-30 00:00:00,1002148,gzxmcmy,广州美厨智能家居科技股份有限公司,8,-3.00510732397
0.95833333333333337,0.95833333333333337,D,28.5994227154,2016-09-20 00:00:00,1002148,gzxmcmy,广州美厨智能家居科技股份有限公司,9,3.36176735798
0.94666666666666666,0.94666666666666666,D,62.2465675464,2016-10-12 00:00:00,1002148,gzxmcmy,广州美厨智能家居科技股份有限公司,7,0.659504166486
1.0,1.0,D,27.2440263466,2016-10-18 00:00:00,1002148,gzxmcmy,广州美厨智能家居科技股份有限公司,10,24.1403382385
