sku_id	cr_sim	cr_his	ito_sim	ito_his	gmv_sim	gmv_his	ts_sim	ts_his	pur_cnt_sim	success_cnt	wh_qtn	pur_cnt_his	org_nation_sale_num_band
1002144	0.956896551724	0.793103448276	18.2962962963	13.5454545455	2041.2	1663.2	27.0	22	40	9	75.6	8	L
1002148	1.0	0.913793103448	20.8932038835	20.085106383	3491.7	3186.6	103.0	94	22	10	33.9	8	D
1003031	0.98275862069	0.939655172414	39.6451612903	39.7155172414	6572.0	6148.0	124.0	116	13	5	53.0	4	D
1003033	0.879310344828	0.775862068966	17.1851851852	12.8	2273.4	2105.0	27.0	25	39	9	84.2	11	L
1006759	1.0	1.0	33.1742424242	27.4532828283	26848.8	26848.8	792.0	792	21	10	33.9	13	B
1023247	1.0	1.0	46.1731123389	37.605893186	14606.7	14606.7	543.0	543	9	4	26.9	7	C
1028779	0.974137931034	0.913793103448	35.5135135135	46.6764705882	555.0	510.0	37.0	34	12	4	15.0	4	E
1039456	0.887931034483	0.76724137931	14.2417582418	49.1176470588	9027.82758621	11805.6206897	91.0	119	29	10	99.2068965517	5	D
1042550	0.741379310345	0.318965517241	17.6363636364	25.0	3828.0	1044.0	11.0	3	62	5	348.0	6	L
1042561	0.775862068966	0.646551724138	30.2666666667	22.8125	3570.0	3808.0	15.0	16	104	7	238.0	7	L
1068578	1.0	1.0	42.1859296482	40.5577889447	10746.0	10746.0	398.0	398	13	5	27.0	4	C
1068586	1.0	1.0	30.0488888889	25.8844444444	13275.0	13275.0	225.0	225	14	4	59.0	5	D
1072920	1.0	1.0	30.4642857143	38.5476190476	934.08	934.08	168.0	168	20	10	5.56	6	D
1072928	0.974137931034	0.991379310345	27.367816092	36.9786096257	957.3552	1028.88173793	174.0	187	18	8	5.50204137931	5	D
1072948	1.0	1.0	156.421052632	159.596491228	396.9081	396.9081	57.0	57	0	0	6.9633	1	Z
1072951	1.0	0.948275862069	13.964	14.6356275304	2375.0	2346.5	250.0	247	31	13	9.5	6	D
1072952	0.98275862069	1.0	32.9817739976	22.5698795181	10699.0	10790.0	823.0	830	23	10	13.0	12	B
1072953	1.0	1.0	32.4133333333	16.66	6255.0	6255.0	450.0	450	21	10	13.9	11	C
1072954	0.836206896552	0.793103448276	37.9811320755	26.1875	502.960862069	607.348965517	53.0	64	44	4	9.48982758621	5	Z
1072955	0.974137931034	0.948275862069	38.3214285714	50.4838709677	256.263868966	283.720712069	28.0	31	14	6	9.15228103448	3	E
1072958	1.0	1.0	244.333333333	244.333333333	180.54	180.54	6.0	6	0	0	30.09	0	Z
1072962	1.0	1.0	205.571428571	206.142857143	248.22	248.22	7.0	7	2	1	35.46	1	Z
1072963	0.965517241379	0.870689655172	23.34375	31.3214285714	1136.0	994.0	32.0	28	24	7	35.5	6	Z
1072965	0.991379310345	0.629310344828	16.8870967742	8.80555555556	1489.95096897	865.13282069	62.0	36	24	11	24.0314672414	11	E
1076888	1.0	1.0	35.9939209726	28.8085106383	12250.4568103	12250.4568103	329.0	329	11	5	37.2354310345	9	C
1076889	1.0	0.98275862069	25.2900763359	25.003875969	18301.5438207	18022.1309379	262.0	258	15	6	69.8532206897	9	D
1076892	1.0	1.0	39.289897511	36.4714494876	102450.0	102450.0	683.0	683	14	6	150.0	7	B
1076894	1.0	0.741379310345	44.2941176471	60.5833333333	1360.0	960.0	17.0	12	7	3	80.0	2	Z
1076895	1.0	1.0	120.071428571	159.714285714	1063.4933931	1063.4933931	14.0	14	0	0	75.9638137931	1	Z
1076897	0.827586206897	0.775862068966	23.2272727273	53.1363636364	990.0	990.0	22.0	22	24	8	45.0	5	Z
1076900	0.991379310345	1.0	26.625	28.3333333333	5963.52703448	5963.52703448	48.0	48	15	4	124.240146552	4	E
1076902	1.0	0.818965517241	32.8823529412	30.1538461538	204.0	156.0	17.0	13	19	9	12.0	5	L
1076903	0.879310344828	0.560344827586	52.3	26.875	264.0	211.2	10.0	8	17	6	26.4	2	L
1076907	0.758620689655	0.0689655172414	16.5454545455	24.0	9.71034482759	0.88275862069	11.0	1	118	8	0.88275862069	1	L
1076908	0.853448275862	0.284482758621	20.6551724138	7.1875	327.7	180.8	29.0	16	18	5	11.3	4	L
1076910	0.672413793103	0.586206896552	19.6923076923	12.4615384615	244.4	244.4	13.0	13	102	7	18.8	5	L
1076912	1.0	1.0	59.8666666667	75.5466666667	6450.0	6450.0	75.0	75	5	1	86.0	2	E
1076913	0.956896551724	1.0	25.6419753086	30.862745098	23085.0	24225.0	243.0	255	17	6	95.0	7	D
1076916	1.0	1.0	66.1948051948	88.8961038961	11910.4027483	11910.4027483	77.0	77	5	2	154.680555172	2	E
1076917	0.948275862069	1.0	41.2424242424	47.4117647059	5280.0	5440.0	33.0	34	9	2	160.0	4	E
1076920	0.991379310345	0.827586206897	33.6	56.0	3295.588125	2372.82345	25.0	18	13	5	131.823525	2	L
1076924	1.0	1.0	155.083333333	179.305555556	2796.91643793	2796.91643793	36.0	36	0	0	77.6921232759	1	E
1076925	0.974137931034	0.887931034483	22.6103896104	31.1184210526	4038.67801207	3986.22764828	77.0	76	16	5	52.4503637931	3	E
1076927	1.0	1.0	57.6846846847	60.5045045045	12553.0144966	12553.0144966	111.0	111	7	3	113.09022069	4	D
1076935	1.0	1.0	89.5	85.8	1193.73291379	1193.73291379	10.0	10	7	3	119.373291379	2	Z
1076936	1.0	1.0	90.5263157895	112.157894737	3988.29520862	3988.29520862	19.0	19	1	0	209.910274138	1	L
1076937	0.98275862069	0.939655172414	21.9285714286	65.9230769231	4423.62796207	4107.65453621	28.0	26	18	6	157.986712931	2	E
1076938	1.0	1.0	139.508474576	143.525423729	8260.0	8260.0	118.0	118	0	0	70.0	3	D
1076939	0.965517241379	0.870689655172	19.2285714286	30.9379844961	41860.0	38571.0	140.0	129	18	6	299.0	4	D
1076941	1.0	1.0	46.75	47.0714285714	6416.95558966	6416.95558966	28.0	28	9	3	229.176985345	3	E
1076943	1.0	1.0	72.6227106227	76.3846153846	21071.8457793	21071.8457793	273.0	273	6	2	77.1862482759	4	D
1081219	0.879310344828	0.939655172414	24.2272727273	93.7826086957	1320.0	1380.0	22.0	23	19	6	60.0	2	E
1081224	0.956896551724	0.646551724138	13.3114754098	9.54166666667	5002.0	3936.0	61.0	48	29	10	82.0	10	E
